doc,subjectType,subjectValue,relation,objectType,objectValue
123,Document,123,MENTIONS,Entity,29fd84a3-903a-458c-963e-065f76bc43fd
123,Entity,29fd84a3-903a-458c-963e-065f76bc43fd,HAS_STRING,Label,Barack Obama
123,Entity,29fd84a3-903a-458c-963e-065f76bc43fd,IS_A,EntityType,PERSON
123,Entity,29fd84a3-903a-458c-963e-065f76bc43fd,LINKS_TO,URI,Barack_Obama
123,Document,123,MENTIONS,Entity,b5798945-3d09-468f-86af-67b043933447
123,Entity,b5798945-3d09-468f-86af-67b043933447,HAS_STRING,Label,Hawaii
123,Entity,b5798945-3d09-468f-86af-67b043933447,IS_A,EntityType,LOCATION
123,Entity,b5798945-3d09-468f-86af-67b043933447,LINKS_TO,URI,Hawaii
123,Document,123,MENTIONS,Entity,27707061-1b9e-45cf-badf-46495ce65c05
123,Entity,27707061-1b9e-45cf-badf-46495ce65c05,HAS_STRING,Label,1961
123,Entity,27707061-1b9e-45cf-badf-46495ce65c05,IS_A,EntityType,DATE
123,Entity,27707061-1b9e-45cf-badf-46495ce65c05,LINKS_TO,URI,1961
123,Document,123,MENTIONS,Entity,2fff5383-305b-4666-873c-bdc7cc0bd478
123,Entity,2fff5383-305b-4666-873c-bdc7cc0bd478,HAS_STRING,Label,He
123,Entity,2fff5383-305b-4666-873c-bdc7cc0bd478,IS_A,EntityType,PERSON
123,Entity,2fff5383-305b-4666-873c-bdc7cc0bd478,LINKS_TO,URI,""
123,Entity,29fd84a3-903a-458c-963e-065f76bc43fd,DATE_OF_BIRTH,Entity,27707061-1b9e-45cf-badf-46495ce65c05
789,Document,789,MENTIONS,Entity,4026437e-2e4c-4965-ba14-624d69613351
789,Entity,4026437e-2e4c-4965-ba14-624d69613351,HAS_STRING,Label,Apple
789,Entity,4026437e-2e4c-4965-ba14-624d69613351,IS_A,EntityType,ORGANIZATION
789,Entity,4026437e-2e4c-4965-ba14-624d69613351,LINKS_TO,URI,Apple_Inc.
789,Document,789,MENTIONS,Entity,bdfecf07-fee1-40ff-8181-21d18b6b4b3e
789,Entity,bdfecf07-fee1-40ff-8181-21d18b6b4b3e,HAS_STRING,Label,Cupertino
789,Entity,bdfecf07-fee1-40ff-8181-21d18b6b4b3e,IS_A,EntityType,LOCATION
789,Entity,bdfecf07-fee1-40ff-8181-21d18b6b4b3e,LINKS_TO,URI,"Cupertino,_California"
789,Entity,4026437e-2e4c-4965-ba14-624d69613351,CITY_OF_HEADQUARTERS,Entity,bdfecf07-fee1-40ff-8181-21d18b6b4b3e
